Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method
10002,02-01-2024,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal
10005,05-01-2024,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal
10008,08-01-2024,Home Appliances,Blueair Classic 480i,2,599.99,1199.98,Europe,PayPal
10011,11-01-2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,129.99,Europe,PayPal
10014,14-01-2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,189.99,Europe,PayPal
10017,17-01-2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,399.99,Europe,PayPal
10020,20-01-2024,Home Appliances,Ninja Professional Blender,1,99.99,99.99,Europe,PayPal
10023,23-01-2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,49.99,Europe,PayPal
10026,26-01-2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,179.99,Europe,PayPal
10029,29-01-2024,Beauty Products,MAC Ruby Woo Lipstick,1,29.99,29.99,Europe,PayPal
10032,01-02-2024,Home Appliances,Instant Pot Duo,3,89.99,269.97,Europe,PayPal
10035,04-02-2024,Beauty Products,L'Oreal Revitalift Serum,2,39.99,79.98,Europe,PayPal
10038,07-02-2024,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal
10041,10-02-2024,Beauty Products,Estee Lauder Advanced Night Repair,1,105,105,Europe,PayPal
10044,13-02-2024,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal
10047,16-02-2024,Beauty Products,Clinique Moisture Surge,1,52,52,Europe,PayPal
10050,19-02-2024,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal
10053,22-02-2024,Beauty Products,Shiseido Ultimate Sun Protector,1,49,49,Europe,PayPal
10056,25-02-2024,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal
10059,28-02-2024,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal
10062,02-03-2024,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal
10065,05-03-2024,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal
10068,08-03-2024,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal
10071,11-03-2024,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal
10074,14-03-2024,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal
10077,17-03-2024,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal
10080,20-03-2024,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal
10083,23-03-2024,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal
10086,26-03-2024,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal
10089,29-03-2024,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal
10092,01-04-2024,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal
10095,04-04-2024,Beauty Products,Tatcha The Water Cream,1,68,68,Europe,PayPal
10098,07-04-2024,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal
10101,10-04-2024,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal
10104,13-04-2024,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal
10107,16-04-2024,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal
10110,19-04-2024,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal
10113,22-04-2024,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal
10116,25-04-2024,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal
10119,28-04-2024,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal
10122,01-05-2024,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal
10125,04-05-2024,Beauty Products,NARS Radiant Creamy Concealer,1,30,30,Europe,PayPal
10128,07-05-2024,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal
10131,10-05-2024,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,36,Europe,PayPal
10134,13-05-2024,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal
10137,16-05-2024,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal
10140,19-05-2024,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal
10143,22-05-2024,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal
10146,25-05-2024,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal
10149,28-05-2024,Beauty Products,Laneige Water Sleeping Mask,1,25,25,Europe,PayPal
10152,31-05-2024,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal
10155,03-06-2024,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,59,Europe,PayPal
10158,06-06-2024,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal
10161,09-06-2024,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,36,Europe,PayPal
10164,12-06-2024,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal
10167,15-06-2024,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal
10170,18-06-2024,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal
10173,21-06-2024,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal
10176,24-06-2024,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal
10179,27-06-2024,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,68,Europe,PayPal
10182,30-06-2024,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal
10185,03-07-2024,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,190,Europe,PayPal
10188,06-07-2024,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal
10191,09-07-2024,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal
10194,12-07-2024,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal
10197,15-07-2024,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal
10200,18-07-2024,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal
10203,21-07-2024,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,52,Europe,PayPal
10206,24-07-2024,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal
10209,27-07-2024,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal
10212,30-07-2024,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal
10215,02-08-2024,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal
10218,05-08-2024,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal
10221,08-08-2024,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal
10224,11-08-2024,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal
10227,14-08-2024,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal
10230,17-08-2024,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal
10233,20-08-2024,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal
10236,23-08-2024,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal
10239,26-08-2024,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal
,,,COUNT,80,80,80,,
,,,SUM,105,15272.34,21268.06,,
,,,AVERAGE,1.3125,190.90425,265.85075,,
